station,Date,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
HUA,1/4/20 1:38,OVC,M,M,1400,M,M,M
HUA,1/4/20 1:58,SCT,BKN,OVC,900,1500,2900,M
HUA,1/4/20 2:08,BKN,OVC,M,700,1600,M,#NAME?
HUA,1/4/20 2:18,BKN,OVC,M,600,1400,M,#NAME?
HUA,1/4/20 2:38,OVC,M,M,400,M,M,#NAME?
HUA,1/4/20 2:48,OVC,M,M,600,M,M,M
HUA,1/4/20 2:58,OVC,M,M,500,M,M,#NAME?
HUA,1/4/20 3:08,BKN,OVC,M,400,1000,M,#NAME?
HUA,1/4/20 3:18,BKN,OVC,M,500,900,M,#NAME?
HUA,1/4/20 3:28,FEW,OVC,M,400,1000,M,M
HUA,1/4/20 3:48,BKN,OVC,M,500,1300,M,M
HUA,1/4/20 3:58,BKN,OVC,M,500,1300,M,M
HUA,1/4/20 4:48,FEW,SCT,BKN,500,2100,3200,M
HUA,1/4/20 4:58,SCT,BKN,OVC,500,3200,5500,M
HUA,1/4/20 5:18,BKN,BKN,BKN,500,2900,5500,M
HUA,1/4/20 5:38,SCT,BKN,OVC,400,2000,2800,M
HUA,1/4/20 5:58,SCT,OVC,M,600,2900,M,M
HUA,1/4/20 6:08,BKN,OVC,M,500,2800,M,M
HUA,1/4/20 6:58,OVC,M,M,600,M,M,M
HUA,1/4/20 7:38,SCT,OVC,M,600,5000,M,M
HUA,1/4/20 7:58,BKN,OVC,M,800,5000,M,M
HUA,1/4/20 8:38,SCT,OVC,M,700,2400,M,M
HUA,1/4/20 8:48,FEW,BKN,OVC,300,700,2400,#NAME?
HUA,1/4/20 8:58,FEW,SCT,BKN,300,2300,3800,#NAME?
HUA,1/4/20 9:28,SCT,BKN,OVC,700,1100,6000,#NAME?
HUA,1/4/20 9:38,BKN,BKN,OVC,500,1100,6000,#NAME?
HUA,1/4/20 9:58,SCT,SCT,BKN,400,1300,3500,M
HUA,1/4/20 10:18,FEW,BKN,BKN,800,1300,3500,#NAME?
HUA,1/4/20 10:48,BKN,OVC,M,900,1800,M,#NAME?
HUA,1/4/20 10:58,OVC,M,M,1000,M,M,#NAME?
HUA,1/4/20 11:28,SCT,BKN,BKN,1100,1700,2500,M
HUA,1/4/20 11:38,BKN,OVC,M,1100,2800,M,M
HUA,1/4/20 11:58,OVC,M,M,1000,M,M,M
HUA,1/4/20 12:08,SCT,OVC,M,1000,1900,M,M
HUA,1/4/20 12:18,SCT,SCT,BKN,1000,1900,7000,M
HUA,1/4/20 12:28,BKN,BKN,OVC,1500,2100,8500,M
HUA,1/4/20 12:38,SCT,BKN,BKN,1500,7000,8500,M
HUA,1/4/20 12:58,FEW,M,M,1500,M,M,M
HUA,1/4/20 13:58,CLR,M,M,M,M,M,M
HUA,1/4/20 14:58,BKN,M,M,1400,M,M,M
HUA,1/4/20 15:08,BKN,M,M,1500,M,M,M
HUA,1/4/20 15:58,BKN,BKN,M,1800,2300,M,M
HUA,1/4/20 16:48,SCT,BKN,M,2500,3300,M,M
HUA,1/4/20 16:58,BKN,BKN,M,2600,3300,M,M
HUA,1/4/20 17:08,SCT,BKN,BKN,2600,3300,4300,M
HUA,1/4/20 17:18,BKN,BKN,BKN,2800,3400,4300,M
HUA,1/4/20 17:28,BKN,BKN,M,3300,4200,M,M
HUA,1/4/20 17:58,FEW,M,M,3500,M,M,M
